name,inst_type,entity,permco,dt_start,dt_end
Citizens Fidelity Corp,Bank Holding Company,1094499,844,19860630,19870226
Citytrust Bancorp Inc,Domestic Entity Other,1040740,923,19860630,19910830
Central Jersey Bancorp,Bank Holding Company,1133736,927,19860630,19950114
"Community National Bancorp, Inc",Commercial Bank,1248797,988,19880527,19911114
Chittenden Corporation,Bank Holding Company,1114605,991,19860630,20080101
First Commercial Corporation,Bank Holding Company,1096523,1021,19860630,19980801
"Colorado National Bankshares, Inc.",Bank Holding Company,1049154,1036,19860630,19930528
Citizens And Southern Corporation,Bank Holding Company,1076918,1148,19860630,19900831
"First Banks America, Inc.",Bank Holding Company,1103524,1168,19860630,20021231
City National Corporation,Bank Holding Company,1027518,1194,19860630,20151030
Dauphin Deposit Corporation,Bank Holding Company,1116702,1248,19860630,19970708
Comerica Incorporated,Bank Holding Company,1199844,1261,19860630,20181231
Deposit Guaranty Corp.,Bank Holding Company,1079946,1292,19860630,19980501
First Union Corporation Of Virginia,Bank Holding Company,1072291,1338,19860630,19930301
Equitable Bancorporation,Bank Holding Company,1020452,1457,19860630,19900117
Eldorado Bancorp,Bank Holding Company,1029035,1496,19860630,19970630
Regions Financial Corporation,Bank Holding Company,1078332,1620,19860630,20040630
Regions Financial Corporation,Bank Holding Company,3242838,1620,20040701,20181231
First Of America Bank Corporation,Bank Holding Company,1199648,1621,19860630,19980401
First American Corporation,Bank Holding Company,1078426,1636,19860630,19991001
U.S. Bancorp,Bank Holding Company,1119794,1645,19860630,20181231
Trustmark Corporation,Bank Holding Company,1079562,1658,19860630,20181231
"First Commercial Bancorp, Inc.",Bank Holding Company,1028355,1666,19860630,19980130
Louisiana Banc One Corporation,Bank Holding Company,1080371,1668,19860630,19981116
M&T Bank Corporation,Bank Holding Company,1037003,1689,19860630,20181231
"First Florida Banks, Incorporated",Bank Holding Company,1020229,1695,19860630,19921207
Bancwest Corporation,Bank Holding Company,1025608,1718,19860630,20011231
Interfirst Corp,Bank Holding Company,1100886,1721,19860630,19870606
Fifth Third Bancorp,Bank Holding Company,1070345,1741,19860630,20181231
First Jersey National Corp,Domestic Entity Other,1035166,1746,19860630,19880229
First Kentucky National,Domestic Entity Other,1095311,1751,19860630,19880729
Allfirst Financial Inc,Bank Holding Company,1074660,1776,19860630,19890331
F & M National Corporation,Bank Holding Company,1074567,1782,19860630,20010810
Star Banc Corporation,Bank Holding Company,1070251,1788,19860630,19981119
Firstar Corporation,Bank Holding Company,2724645,1788,19981120,20010226
Florida Natl Banks Of Fla,Bank Holding Company,1078239,1792,19860630,19900128
"Boatmen'S Sunwest, Inc.",Bank Holding Company,1049921,1799,19860630,19920930
Intrawest Financial Corp,Bank Holding Company,1049510,1805,19860630,19870430
First Railrd & Banking Co-Ga,Bank Holding Company,1079281,1837,19860630,19861031
Fourth Financial Corporation,Bank Holding Company,1053441,1839,19860630,19960131
First Security Corporation,Bank Holding Company,1024058,1846,19860630,20030730
First Horizon National Corporation,Bank Holding Company,1094640,1856,19860630,20181231
Centerre Bancorporation,Bank Holding Company,1093773,1865,19860630,19881208
Wachovia Corporation,Bank Holding Company,1073551,1869,19860630,20081231
Arrow Financial Corporation,Bank Holding Company,1048812,1940,19860630,20181231
First Regional Bancorp,Bank Holding Company,1029428,2026,19860630,20090930
Huntington Bancshares Incorporated,Bank Holding Company,1068191,2093,19860630,20181231
Hibernia Corporation,Bank Holding Company,1078921,2141,19860630,20051116
Shawmut National Corporation,Bank Holding Company,1248902,2171,19880229,19951201
Hudson United Bancorp,Bank Holding Company,1048625,2231,19860630,20060201
Hawkeye Bancorporation,Bank Holding Company,1199536,2237,19860630,19960102
Horizon Bancorp,Bank Holding Company,1034888,2249,19860630,19890131
Imperial Bancorp,Bank Holding Company,1027602,2252,19860630,20010130
Westamerica Bancorporation,Bank Holding Company,1025541,2253,19860630,20181231
"Independent Bankshares, Inc.",Bank Holding Company,1104576,2258,19860630,20050304
Inb Financial Corporation,Bank Holding Company,1201475,2342,19860630,19921014
"Corus Bankshares, Inc.",Bank Holding Company,1200393,2343,19860630,20090630
"Jefferson Bancorp, Inc.",Bank Holding Company,1078163,2439,19860630,19970103
"Jefferson Bankshares, Inc.",Bank Holding Company,1074923,2440,19860630,19971101
Keycorp,Bank Holding Company,1034806,2535,19860630,19940301
Keycorp,Bank Holding Company,1068025,2535,19940302,20181231
"Liberty Bancorp, Inc.",Bank Holding Company,1066544,2655,19860630,19970601
Banc One Kentucky Corporation,Bank Holding Company,1096185,2687,19860630,19980228
Landmark Bancshares Corporation,Bank Holding Company,1118582,2691,19860630,19911220
"Merchants New York Bancorp, Inc.",Bank Holding Company,2023012,2795,19900101,20010120
Merchants National Corporation,Bank Holding Company,1199620,2808,19860630,19920501
"Mnc Financial, Inc.",Bank Holding Company,1073364,2844,19860630,19931001
West One Bancorp,Bank Holding Company,1028953,2887,19860630,19951226
Midlantic Corporation,Bank Holding Company,1140743,2921,19860630,19951231
Multibank Financial Corp.,Commercial Bank,1111994,2952,19860630,19930713
Mellon Financial Corporation,Bank Holding Company,1068762,2968,19860630,20070701
Michigan National Corporation,Bank Holding Company,1199714,2969,19860630,20010501
Manufacturers National Corporation,Bank Holding Company,1199826,2981,19860630,19920617
Mercantile Bankshares Corporation,Bank Holding Company,1072442,3029,19860630,20070302
Marshall & Ilsley Corporation,Bank Holding Company,3594612,3042,19900101,20110705
Mcorp,Bank Holding Company,1102590,3067,19860630,19891229
Mercantile Bancorporation Inc.,Bank Holding Company,1094211,3079,19860630,19990920
"Mark Twain Bancshares, Inc.",Bank Holding Company,1093634,3086,19860630,19970425
National Bancshares Corporation Of Texas,Bank Holding Company,1100840,3128,19860630,20011231
Northeast Bancorp -Old,Bank Holding Company,1035081,3131,19860630,19930528
First Chicago Nbd Corporation,Bank Holding Company,1199778,3134,19860630,19981001
National Commerce Financial Corp.,Bank Holding Company,1093728,3143,19860630,20041001
National City Bancorporation,Bank Holding Company,1123531,3144,19860630,20010801
"National Community Banks, Inc.",Bank Holding Company,1399028,3145,19890301,19930811
Bank Of America Corporation,Bank Holding Company,1073757,3151,19860630,20181231
National City Corporation,Bank Holding Company,1069125,3157,19860630,20081231
Bank Of New England Corporation,Bank Holding Company,1113907,3163,19860630,19910107
Constellation Bancorp,Bank Holding Company,1130472,3257,19860630,19940317
Northern Trust Corporation,Bank Holding Company,1199611,3275,19860630,20181231
Old Kent Financial Corporation,Bank Holding Company,1199705,3359,19860630,20010402
"Firstier Financial, Inc.",Bank Holding Company,1052015,3375,19860630,19960216
Corestates Financial Corp,Bank Holding Company,1116300,3552,19860630,19980428
Integra Financial Corporation,Bank Holding Company,1398816,3614,19881231,19960502
"Provident Bancorp, Inc.",Bank Holding Company,1070617,3658,19860630,20040701
"Pnc Financial Services Group, Inc., The",Bank Holding Company,1069778,3685,19860630,20181231
Puget Sound Bancorp,Bank Holding Company,1029138,3702,19860630,19930114
Putnam Trust Company Of Greenwich,Commercial Bank,567606,3718,19860630,19961201
Rainier Bancorporation,Bank Holding Company,1246887,3785,19860630,19870831
Riggs National Corporation,Bank Holding Company,1075126,3849,19860630,20050514
Ramapo Financial Corporation,Bank Holding Company,1039427,3868,19860630,19990612
First Republicbank Corp,Domestic Entity Other,1101753,3928,19860630,19880831
Santa Monica Bank,Commercial Bank,375669,3976,19860630,19980127
Southtrust Corporation,Bank Holding Company,1079441,3987,19860630,20041101
South Carolina National Corporation,Bank Holding Company,1072554,4009,19860630,19911205
"Security Bancorp, Inc.",Bank Holding Company,1208241,4035,19860630,19920430
Sei Investments Company,Thrift holding company,1274974,4040,19860630,20181231
"Colonial Bancgroup, Inc., The",Bank Holding Company,1080465,4128,19860630,20090630
Bb&T Corporation,Bank Holding Company,1074156,4163,19860630,20181231
Southwest Bancorp,Bank Holding Company,1028702,4182,19860630,19891019
Society Corp,Bank Holding Company,1068025,4183,19860630,19940301
Security Pacific Corporation,Bank Holding Company,1024526,4205,19860630,19920421
State Street Corporation,Bank Holding Company,1111435,4260,19860630,20181231
Summit Bancorp,Bank Holding Company,1047897,4307,19860630,19960301
Sumitomo Bank Of California,Commercial Bank,257569,4313,19860630,19981001
Texas American Bancshares,Bank Holding Company,1102228,4368,19860630,19890720
Texas Commerce Bancshares,Domestic Entity Other,1100550,4385,19860630,19870430
Third National Corp,Bank Holding Company,1080148,4396,19860630,19861231
Transworld Bancorp,Bank Holding Company,1030330,4602,19860630,19970516
"United Banks Of Colorado, Inc.",Bank Holding Company,1049042,4626,19860630,19910419
Norstar Bancorp Inc,Bank Holding Company,1034365,4629,19860630,19871231
United Carolina Bancshares Corporation,Bank Holding Company,1072394,4632,19860630,19970702
Umb Financial Corporation,Bank Holding Company,1049828,4673,19860630,20181231
United National Bancorp,Bank Holding Company,1250259,4679,19880801,20040101
Union Natl Corp-Pennsylvania,Bank Holding Company,1070886,4680,19860630,19881230
University Bank & Trust Co.,Commercial Bank,917667,4693,19860630,19960301
Union Planters Corporation,Bank Holding Company,1094369,4703,19860630,20040701
U.S. Bancorp,Bank Holding Company,1025701,4717,19860630,19970801
U.S. Trust Corporation,Bank Holding Company,1048184,4737,19860630,19950901
Crestar Financial Corporation,Bank Holding Company,1072237,4752,19860630,20000101
"Victoria Bankshares, Inc.",Bank Holding Company,1102125,4799,19860630,19990827
C & S Sovran Corp,Bank Holding Company,1072947,4817,19860630,19900831
Valley National Bancorp,Bank Holding Company,1048773,4818,19860630,20181231
Banc One Arizona Corporation,Bank Holding Company,1028739,4820,19860630,19930330
Valley Bancorporation,Bank Holding Company,1199509,4844,19860630,19940531
Wilmington Trust Corporation,Bank Holding Company,1888193,4923,19900101,20110516
Zions Bancorporation,Bank Holding Company,1027004,5057,19860630,20180929
First Eastern Corp.,Bank Holding Company,1116953,5086,19860630,19940618
"National Bancorp Of Alaska, Inc.",Bank Holding Company,1030611,5241,19860630,20080101
Firstmerit Corporation,Bank Holding Company,1070804,5259,19860630,20160815
Interchange Financial Services Corporation,Bank Holding Company,1138535,5270,19861129,20070101
First National Corporation,Commercial Bank,1030349,5298,19860630,19930716
Ust Corp.,Bank Holding Company,1111583,5303,19860630,20000128
Fulton Financial Corporation,Bank Holding Company,1117129,5440,19860630,20181231
Nbsc Corporation,Bank Holding Company,1075890,5579,19860630,19950301
United Counties Bancorporation,Bank Holding Company,1048821,5607,19860630,19960224
"North Fork Bancorporation, Inc.",Bank Holding Company,1048429,5627,19860630,20061201
"Washington Federal, Inc.",Thrift holding company,3065617,5679,19950203,20181231
"Summit Bancorp, Inc.",Bank Holding Company,1989205,5797,19900101,19941114
"Magna Group, Inc.",Bank Holding Company,1095478,5841,19860630,19980701
Cvb Financial Corp.,Bank Holding Company,1029222,5856,19860630,20181231
"First Midwest Bancorp, Inc.",Bank Holding Company,1208184,5908,19860630,20181231
"Trustcompany Bancorporation, The",Bank Holding Company,1135990,5918,19860630,19931228
"Trust Company Of New Jersey, The",Commercial Bank,31303,5918,19931229,20040514
Trustco Bank Corp Ny,Bank Holding Company,1048513,5926,19860630,20181231
Vermont Financial Services Corp,Bank Holding Company,1114931,6000,19860630,19990528
"Raymond James Financial, Inc.",Bank holding company,3815157,6137,19940513,20181231
Mainstreet Financial Corporation,Bank Holding Company,1074866,6170,19860630,19990306
Stifel Financial Corp.,Bank Holding Company,3063622,6185,20011016,20181231
First Michigan Bank Corporation,Bank Holding Company,1200003,6217,19860630,19970930
First Indiana Corporation,Bank Holding Company,1145506,6246,19861125,20080102
1St Source Corporation,Bank Holding Company,1199602,6281,19860630,20181231
"First Amarillo Bancorporation, Inc.",Bank Holding Company,1107371,6405,19860630,19931130
"Franklin Resources, Inc.",Bank Holding Company,1246216,6407,19860630,20181231
"National Penn Bancshares, Inc.",Bank Holding Company,1117026,6523,19860630,20160401
First Financial Holdings Inc.,Bank holding company,1890507,6545,19910601,20130726
"Pacific Western Bancshares, Inc.",Bank Holding Company,1028458,6558,19860630,19940331
Citizens Bancorp,Bank Holding Company,1075573,6579,19860630,19970101
"Independence Bancorp, Inc.",Bank Holding Company,1117268,6686,19860630,19940627
First Financial Bancorp,Bank Holding Company,1071276,6736,19860630,20181231
Bank Of New Hampshire Corporation,Bank Holding Company,1114726,6755,19860630,19991227
Firstbank Of Illinois Co.,Bank Holding Company,1202137,6778,19860630,19980701
Seacoast Banking Corporation Of Florida,Bank Holding Company,1085013,6827,19860630,20181231
"Neworld Bancorp, Inc.",Bank Holding Company,1142185,6839,19870420,19940414
"Collective Bancorp, Inc.",Commercial Bank,2158165,6840,19881227,19970731
First National Bancorp,Bank Holding Company,1082106,6866,19860630,19960301
"Glacier Bancorp, Inc.",Bank Holding Company,2003975,6944,19901231,20181231
"Vallicorp Holdings, Inc.",Bank Holding Company,1427248,7006,19891201,19970412
"Mid Am, Inc.",Bank Holding Company,1070952,7030,19860630,19981002
"Susquehanna Bancshares, Inc.",Bank Holding Company,1117156,7050,19860630,20150731
Pacific Inland Bancorp,Bank Holding Company,1031748,7054,19860630,20010831
Old National Bancorp,Bank Holding Company,1098303,7067,19860630,20181231
Bank Of Granite Corporation,Bank Holding Company,1143481,7070,19870529,20110630
"Concord Efs, Inc.",Bank Holding Company,2014971,7099,19900101,20040226
"Progressive Bank, Inc.",Bank Holding Company,1140332,7162,19861017,19980717
"First United Bancshares, Inc.",Bank Holding Company,1096439,7244,19860630,20000901
"Commerce Bancorp, Llc",Bank Holding Company,1117679,7263,19860630,20071231
Baltimore Bancorp,Bank Holding Company,1076712,7276,19860630,19960531
Frankford Corporation,Bank Holding Company,1022728,7279,19860630,19940730
"Westport Bancorp, Inc.",Bank Holding Company,1048915,7307,19860630,19961214
First Colonial Bankshares Corporation,Bank Holding Company,1202463,7320,19860630,19950131
Fort Wayne National Corporation,Bank Holding Company,1207002,7330,19860630,19980331
132Nd & California Street Branch,Commercial Bank,130970,7361,19860630,20051202
"Keystone Financial, Inc.",Bank Holding Company,1117781,7366,19860630,20001007
"Premier Bancorp, Incorporated",Bank Holding Company,1130892,7373,19860630,19960102
"Ameriserv Financial, Inc",Bank Holding Company,1117316,7407,19860630,20181231
"W Holding Company, Inc.",Bank Holding Company,2801546,7427,19900101,20090930
Simmons First National Corporation,Bank Holding Company,1094828,7460,19860630,20181231
"Cnb Bancshares, Inc.",Bank Holding Company,1099467,7471,19860630,19991030
Irwin Financial Corporation,Bank Holding Company,1199732,7502,19860630,20090918
Promistar Financial Corporation,Bank Holding Company,1117736,7519,19860630,20020119
B.M.J. Financial Corp.,Bank Holding Company,1118256,7529,19860630,19970301
Napa Valley Bancorp,Bank Holding Company,1030264,7543,19860630,19930415
"Citizens Republic Bancorp, Inc.",Bank Holding Company,1205688,7569,19860630,20130412
"Franklin Bancorporation, Inc.",Bank Holding Company,1416859,7583,19890623,19980702
Financial Trust Corp,Bank Holding Company,1117204,7584,19860630,19970602
Berkshire Bancorp Inc.,Bank Holding Company,2728157,7585,19990104,20131129
"Hometown Bancorporation, Inc.",Bank Holding Company,1144143,7586,19870721,19960831
Guaranty Bancshares Corporation,Bank Holding Company,1137994,7594,19860630,19960210
Rhnb Corporation,Bank Holding Company,1075993,7606,19860630,19941109
"Apple Bancorp, Inc.",Bank Holding Company,1427341,7612,19890929,19901001
"Cb Bancshares, Inc.",Bank Holding Company,1028412,7631,19860630,20040916
"Premier Financial Services, Inc.",Bank Holding Company,1202557,7637,19860630,19960822
"Keystone Heritage Group, Inc.",Bank Holding Company,1117183,7665,19860630,19980327
Bryn Mawr Bank Corporation,Bank Holding Company,1140994,7676,19870102,20181231
Southwest National Corporation,Bank Holding Company,1070961,7678,19860630,19981231
Newbridge Bancorp,Bank Holding Company,1076002,7702,19860630,20160229
Independent Bank Corporation,Bank Holding Company,1201925,7720,19860630,20181231
"Merchants Bancshares, Inc.",Bank Holding Company,1023239,7724,19860630,20170512
"Evergreen Bancorp, Inc.",Bank Holding Company,1048399,7727,19860630,19981231
Sjnb Financial Corp.,Bank Holding Company,1031506,7741,19860630,20011024
"Bsb Bancorp, Inc.",Bank Holding Company,1250530,7746,19881003,20040714
"Baybank, Inc.",Bank Holding Company,1114986,7760,19860630,19951218
"Nasb Financial, Inc.",Thrift holding company,3841941,7764,19980401,20140930
Ccbt Financial Companies Inc.,Bank Holding Company,2745118,7778,19900101,20040501
"Bancorpsouth, Inc.",Bank Holding Company,1097614,7784,19860630,20171031
"Peoples Bancorp Of North Carolina, Inc.",Bank Holding Company,2818245,7788,19990831,20181231
Fairfield First Bank & Trust Company,Commercial Bank,699002,7807,19860630,19960713
Jefferson Bank,Commercial Bank,535913,7822,19860630,19991201
"Bnh Bancshares, Inc.",Bank Holding Company,1134096,7832,19860630,19970828
Republic Security Financial Corporation,Bank Holding Company,2354417,7845,19900101,20010301
"First Oak Brook Bancshares, Inc.",Bank Holding Company,1209097,7860,19860630,20060826
"Community Bank System, Inc.",Bank Holding Company,1048867,7871,19860630,20181231
Mosaic Corp,Bank Holding Company,2337054,7891,19900101,19970103
"Ds Bancor, Inc.",Bank Holding Company,1245714,7892,19870831,19970131
"First Commerce Bancshares, Inc.",Bank Holding Company,1134993,7903,19860630,20090813
Security Capital Bancorp,Bank Holding Company,1076093,7917,19860630,19950520
"First Mutual Bancshares, Inc.",Bank Holding Company,2833604,7926,19900101,20080201
Western Bank,Commercial Bank,142067,7944,19860630,19960201
"Banctrust Financial Group, Inc.",Bank Holding Company,1138012,7954,19860630,20120930
"Iroquois Bancorp, Inc.",Bank Holding Company,2439426,7965,19900101,20001104
Banc One West Virginia Corporation,Bank Holding Company,1076338,7972,19860630,19930430
"Franklin Bank, National Association",Commercial Bank,558172,7985,19860630,20031022
"Franklin Bancorp, Inc.",Bank Holding Company,3103818,7985,20031023,20040527
"Newmil Bancorp, Inc.",Bank Holding Company,1247110,8005,19871019,20061006
"L S B Bancshares, Inc Of South Carolina",Bank Holding Company,1076543,8030,19860630,19940701
"Medford Bancorp, Inc.",Bank Holding Company,2614652,8067,19900101,20021015
"One Valley Bancorp, Inc.",Bank Holding Company,1075201,8072,19860630,20000707
First Citizens Corporation,Bank Holding Company,2449032,8076,19960823,19990709
"T. Rowe Price Group, Inc.",Thrift holding company,3045084,8087,20001228,20181231
Lsb Corporation,Bank Holding Company,3019674,8140,20010702,20101130
"Andover Bancorp, Inc.",Bank Holding Company,1247008,8156,19871102,20011031
"Community Bankshares, Inc.",Bank Holding Company,1136755,8157,19860630,19970829
Elmira Savings Bank,Commercial Bank,861304,8158,19860630,20181231
Bay View Capital Corporation,Bank Holding Company,2736282,8164,19990301,20060430
"Great Lakes Bancorp, Inc.",Bank Holding Company,3180640,8164,20060501,20070930
"Trans Financial, Inc.",Bank Holding Company,1100082,8168,19860630,19980822
Independent Bank Corp.,Bank Holding Company,1136803,8179,19860630,20181231
Massbank Corp.,Commercial Bank,1966783,8197,19900101,20080903
Grenada Sunburst System Corporation,Bank Holding Company,1138889,8216,19860630,19941231
"New Hampshire Thrift Bancshares, Inc.",Thrift holding company,3575750,8217,19890613,20170113
"Amcore Financial, Inc.",Bank Holding Company,1208661,8224,19860630,20091231
Tompkins Financial Corporation,Bank Holding Company,2367921,8228,19951017,20181231
"Skaneateles Bancorp, Inc.",Bank Holding Company,1481398,8229,19900101,19970415
"Cbc Bancorp, Inc.",Bank Holding Company,1142019,8262,19870224,19971130
"Abington Bancorp, Inc.",Bank Holding Company,2521741,8264,19970131,20040428
"Suburban Bankshares, Inc.",Bank Holding Company,1082665,8285,19860630,19940603
Tcf Financial Corporation,Bank Holding Company,2389941,8292,19970407,20181231
"San Francisco Company, The",Bank Holding Company,1029286,8346,19860630,19950331
"Bancorp Connecticut, Inc.",Bank Holding Company,2262914,8365,19900101,20020831
Dime Financial Corporation,Bank Holding Company,1427305,8375,19881202,19980821
"Warren Bancorp, Inc.",Bank Holding Company,1250361,8381,19881001,20021231
"Harris Bankmont, Inc.",Bank Holding Company,1207356,8400,19860630,20000630
"Sandwich Bancorp, Inc.",Bank Holding Company,2573124,8413,19971001,19981203
Suffolk Bancorp,Bank Holding Company,1130865,8451,19860829,20170331
Horizon Financial Corp.,Commercial Bank,2343662,8472,19900101,20100111
Center Financial Corporation,Bank Holding Company,2322751,8477,19900101,19961113
Bankworcester Corporation,Bank Holding Company,1248135,8489,19871214,19940527
"Granite State Bankshares, Inc.",Bank Holding Company,1140118,8493,19860829,20030228
People'S Savings Financial Corp.,Bank Holding Company,1427396,8499,19890731,19970731
Fnb Rochester Corp.,Bank Holding Company,1048951,8506,19860829,19990601
Marble Financial Corporation,Bank Holding Company,1139907,8513,19860903,19960102
F.N.B. Corporation,Bank Holding Company,1070288,8534,19860930,20010601
F.N.B. Corporation,Bank Holding Company,3005332,8534,20010602,20181231
Commercebancorp,Bank Holding Company,1246917,8535,19870731,19940630
Harleysville National Corporation,Bank Holding Company,1117192,8544,19860930,20100410
"Emerald Isle Bancorp, Inc.",Bank Holding Company,2473448,8545,19961003,19980227
Clovis Pile Street Branch,Commercial Bank,622279,8552,19860930,20060103
United Financial Corp.,Bank Holding Company,2713715,8587,19900101,20070206
"Peoples Bancorp Of Worcester, Inc.",Bank Holding Company,1248050,8599,19880301,19940520
Mellon Psfs Bancorporation,Bank Holding Company,1134386,8608,19860930,19950518
"Gateway Bancorp, Inc.",Bank Holding Company,1133240,8614,19861031,19950818
"Today'S Bancorp, Inc.",Bank Holding Company,1202856,8627,19861031,19961107
"Heritage Financial Services, Inc.",Bank Holding Company,1206612,8653,19861031,19980702
"Central Bancorp, Inc.",Bank Holding Company,2746049,8665,19900101,20120930
"Hamptons Bancshares, Inc.",Bank Holding Company,1048924,8667,19861031,19940331
"First Citizens Bancshares, Inc.",Bank Holding Company,1075612,8674,19861031,20181231
"People'S Bancshares, Inc.",Bank Holding Company,2337090,8675,19900101,20020228
Bank Of South Carolina Corporation,Bank Holding Company,2297701,8677,19950417,20181231
Carolina First Corporation,Bank Holding Company,1141599,8711,19861219,20101001
Family Bancorp,Commercial Bank,1250240,8718,19880831,19961206
Norwich Financial Corp.,Bank Holding Company,1427190,8739,19880810,19980225
Metrobank,Commercial Bank,280763,8759,19861128,19961101
Wsfs Financial Corporation,Thrift holding company,3844269,8766,19880721,20181231
Anchor Financial Corporation,Bank Holding Company,1076477,8779,19861231,20000606
"Banknorth Group, Inc.",Bank Holding Company,1249196,8782,19880620,20050301
Farmers Capital Bank Corporation,Bank Holding Company,1098732,8788,19861231,20180820
Flag Financial Corporation,Bank Holding Company,2650315,8803,19900101,20061209
Webster Financial Corporation,Bank Holding Company,1145476,8810,19861231,20181231
Centennial Bancorp,Bank Holding Company,1029071,8834,19861231,20021116
"Alliance Bancorp Of New England, Inc.",Bank Holding Company,2539232,8847,19900101,20040401
"Pinnacle Bancshares, Inc.",Bank Holding Company,2520605,8848,19900101,20071231
"Lakeland First Financial Group, Inc.",Bank Holding Company,1943542,8856,19890501,19950629
"First Of Long Island Corporation, The",Bank Holding Company,1048894,8879,19870130,20181231
First Bancorp,Bank Holding Company,2744894,8889,19981001,20181231
"Roosevelt Financial Group, Inc.",Bank Holding Company,2467009,8911,19881230,19970630
Sterling Financial Corporation,Bank Holding Company,3152245,8926,20050708,20140418
"First Georgia Holding, Inc.",Bank Holding Company,3114805,8959,19900101,20030501
Cfx Corporation,Bank Holding Company,1142091,8980,19870227,19980409
Ameriana Bancorp,Bank Holding Company,3017326,8990,20010629,20151231
Riverside National Bank,Commercial Bank,689562,8999,19870227,19970125
"Nbb Bancorp, Inc.",Bank Holding Company,1363805,9017,19881201,19950127
"Allied Bankshares, Inc.",Bank Holding Company,1131536,9034,19870331,19970201
Oriental Financial Group Inc.,Bank Holding Company,2490575,9058,19970124,20181231
"Chester Valley Bancorp, Inc.",Bank Holding Company,2844495,9066,19900101,20050831
Signal Corp,Bank Holding Company,1924037,9078,19890721,19990213
California First National Bancorp,Bank Holding Company,2907381,9096,20010523,20171130
Ffb Corporation,Bank Holding Company,1075966,9106,19870430,19980617
First Bancorp,Bank Holding Company,1076431,9141,19870430,20181231
"Wesbanco, Inc.",Bank Holding Company,1070448,9147,19870529,20181231
"Bank Of Southington, The",Commercial Bank,389200,9152,19870529,19980109
First National Bank Corp.,Bank Holding Company,1142792,9155,19870529,19950201
Raritan Bancorp Inc.,Bank Holding Company,1143605,9172,19870529,19990331
"Washington Bancorp, Inc.",Bank Holding Company,1143614,9173,19870529,19940701
"Century Bancorp, Inc.",Bank Holding Company,1111088,9193,19870529,20181231
"Goldenbanks Of Colorado, Inc.",Bank Holding Company,1050637,9208,19860630,19950501
"Td Waterhouse Holdings, Inc.",Bank Holding Company,2121169,9212,19900101,19961014
"United Bankshares, Inc.",Bank Holding Company,1076217,9213,19870529,20181231
First Charter Corporation,Bank Holding Company,1076132,9232,19870630,20080607
"University Bancorp, Inc.",Bank Holding Company,1496253,9237,19891231,20090109
"Washington Trust Bancorp, Inc.",Bank Holding Company,1115349,9239,19870630,20181231
